ID,License Plate Number,Enable or not,Start time,Expiration time,Time,Alarm,Blacklist or not,Unique code
258,WA1686U,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA1686U
259,VM1280,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VM1280
260,W1280W,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W1280W
261,WHL9733,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WHL9733
262,W6060R,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W6060R
263,WQV8822,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQV8822
264,WXQ3623,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXQ3623
265,WLG5788,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WLG5788
266,WC6020W,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC6020W
267,WYF1358,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYF1358
268,JDC10,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JDC10
269,RM323,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,RM323
270,BJY7421,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BJY7421
271,WTP5043,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WTP5043
272,VY2155,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VY2155
273,VH8200,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VH8200
274,BNW6233,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNW6233
275,WYA9292,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYA9292
276,BKY8918,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BKY8918
277,ST1813Y,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,ST1813Y
278,WA18M,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA18M
279,WYD35,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYD35
280,WSN3824,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WSN3824
281,WB1601S,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB1601S
282,BHP9898,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BHP9898
283,VDX2990,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VDX2990
284,W2693N,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W2693N
285,WUJ2983,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WUJ2983
286,BMU8474,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BMU8474
287,PKW3164,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,PKW3164
288,WB9336P,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB9336P
289,VK9018,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VK9018
290,WWN9218,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWN9218
291,TY67,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,TY67
292,CDU8263,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,CDU8263
293,VN8263,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VN8263
294,NCT9182,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NCT9182
295,WUK5028,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WUK5028
296,BNU8833,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNU8833
297,VEL6930,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VEL6930
298,RW6653,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,RW6653
299,WC8S,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC8S
300,WC8E,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC8E
301,VC700,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VC700
302,BNJ1813,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNJ1813
303,VL9369,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VL9369
304,WA5768G,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA5768G
305,WCY6305,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WCY6305
306,WNW633,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WNW633
307,WQS325,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQS325
